# Time          1.0000E+02
# Units: Mol/kgw
    Distance      H+             CO2(aq)        Mg++           Ca++           K+             SiO2(aq)       Na+            Al+++          Cl-            Sr++           NO3-           SO4--          Fe++           Fe+++        
   5.001650E-02  -4.187602E-05   5.087035E-04   6.884869E-05   9.070106E-05   1.890825E-05   1.980683E-05   4.288231E-04   5.976316E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   2.126803E-08   8.467211E-09
   1.500495E-01  -5.280539E-05   5.087035E-04   6.887216E-05   9.070157E-05   2.033818E-05   2.894297E-05   4.306849E-04   8.495326E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   3.147274E-08   1.254910E-08
   2.500825E-01  -6.189335E-05   5.087035E-04   6.889824E-05   9.070214E-05   2.172026E-05   3.758059E-05   4.326632E-04   1.037463E-05   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   4.281427E-08   1.708571E-08
   3.501155E-01  -6.774075E-05   5.087035E-04   6.892774E-05   9.070278E-05   2.294241E-05   4.464239E-05   4.345036E-04   1.126917E-05   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   5.564090E-08   2.221636E-08
   4.501485E-01  -7.149019E-05   5.087035E-04   6.895414E-05   9.070335E-05   2.412025E-05   5.083646E-05   4.362877E-04   1.150144E-05   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   6.711719E-08   2.680687E-08
   5.751565E-01  -7.501220E-05   5.087035E-04   6.899890E-05   9.070432E-05   2.629406E-05   6.075247E-05   4.393513E-04   1.087839E-05   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   8.657661E-08   3.459065E-08
   7.251395E-01  -7.593833E-05   5.087035E-04   6.904331E-05   9.070529E-05   2.866198E-05   7.079657E-05   4.428169E-04   9.191749E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.058860E-07   4.231442E-08
   8.751225E-01  -7.696153E-05   5.087035E-04   6.908678E-05   9.070623E-05   3.073714E-05   8.007347E-05   4.460957E-04   7.698394E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.247874E-07   4.987495E-08
   1.025106E+00  -7.786045E-05   5.087035E-04   6.913439E-05   9.070727E-05   3.301527E-05   8.966470E-05   4.493842E-04   6.087971E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.454866E-07   5.815464E-08
   1.175088E+00  -7.982143E-05   5.087035E-04   6.918042E-05   9.070827E-05   3.533424E-05   9.981226E-05   4.527536E-04   4.792813E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.655008E-07   6.616031E-08
   1.325071E+00  -8.315320E-05   5.087035E-04   6.921681E-05   9.070906E-05   3.757762E-05   1.101771E-04   4.560564E-04   4.012993E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.813239E-07   7.248955E-08
   1.475054E+00  -8.644105E-05   5.087035E-04   6.925493E-05   9.070989E-05   3.979079E-05   1.204400E-04   4.593368E-04   3.234129E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   1.978955E-07   7.911819E-08
   1.625037E+00  -9.026217E-05   5.087035E-04   6.929426E-05   9.071074E-05   4.192524E-05   1.308647E-04   4.626861E-04   2.634872E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   2.149977E-07   8.595906E-08
   1.775020E+00  -9.415227E-05   5.087035E-04   6.933609E-05   9.071165E-05   4.398264E-05   1.407678E-04   4.657852E-04   2.164841E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   2.331832E-07   9.323329E-08
   1.925003E+00  -9.762066E-05   5.087035E-04   6.937150E-05   9.071242E-05   4.544653E-05   1.483198E-04   4.681527E-04   2.003317E-06   4.650000E-04   5.070000E-07   1.000000E-04   1.610000E-04   2.485768E-07   9.939074E-08
